Itmcd,district,rate
S1-017B,AMPARA DISTRICT,146.45
S1-018,AMPARA DISTRICT,183.4
S1-019,AMPARA DISTRICT,253.5
S1-020,AMPARA DISTRICT,253.5
S1-021,AMPARA DISTRICT,19.5
S1-022,AMPARA DISTRICT,209.65
S1-023,AMPARA DISTRICT,189.45
S1-024,AMPARA DISTRICT,345.65
S1-025,AMPARA DISTRICT,324.45
S1-026,AMPARA DISTRICT,6.45
S1-027,AMPARA DISTRICT,180.35
S1-028,AMPARA DISTRICT,42.85
S1-029,AMPARA DISTRICT,106.15
S1-030,AMPARA DISTRICT,215.45
S1-030A,AMPARA DISTRICT,715.75
S1-030B,AMPARA DISTRICT,715.75
S1-031,AMPARA DISTRICT,24398.5
S1-032,AMPARA DISTRICT,20347.5
S1-033,AMPARA DISTRICT,27032.5
S1-033A,AMPARA DISTRICT,18668.5
S1-034,AMPARA DISTRICT,2062.6
S1-034A,AMPARA DISTRICT,1676.15
S1-035,AMPARA DISTRICT,225.2
S1-035A,AMPARA DISTRICT,28.15
S1-036*,AMPARA DISTRICT,244.3
S1-036A*,AMPARA DISTRICT,274.9
S1-036B*,AMPARA DISTRICT,334.45
S1-036C*,AMPARA DISTRICT,289.4
S1-037,AMPARA DISTRICT,246.65
S1-038,AMPARA DISTRICT,173.25
S1-039,AMPARA DISTRICT,3144.95
S1-040*,AMPARA DISTRICT,247.35
S1-041,AMPARA DISTRICT,261.7
S1-042,AMPARA DISTRICT,828.5
DR1-001,AMPARA DISTRICT,1177.85
DR1-002,AMPARA DISTRICT,1630.6
DR1-003,AMPARA DISTRICT,2083.35
DR1-004,AMPARA DISTRICT,2309.7
DR1-005,AMPARA DISTRICT,1630.6
DR1-005A,AMPARA DISTRICT,841.2
DR1-006,AMPARA DISTRICT,5546.05
DR1-007,AMPARA DISTRICT,279.8
DR1-008,AMPARA DISTRICT,392.4
DR1-009,AMPARA DISTRICT,33.2
DR1-010,AMPARA DISTRICT,20.05
DR1-011,AMPARA DISTRICT,145.15
DR1-012,AMPARA DISTRICT,409.6
DR1-013,AMPARA DISTRICT,1701.4
DR1-014,AMPARA DISTRICT,50.35
DR1-015,AMPARA DISTRICT,368.65
ST1-001,AMPARA DISTRICT,5070.65
ST1-002,AMPARA DISTRICT,5903.7
ST1-003,AMPARA DISTRICT,2644
ST1-003A,AMPARA DISTRICT,2571.55
ST1-004,AMPARA DISTRICT,16769.15
ST1-005,AMPARA DISTRICT,17706.55
ST1-006,AMPARA DISTRICT,14633.4
ST1-007,AMPARA DISTRICT,15570.8
ST1-008,AMPARA DISTRICT,7153.25
ST1-009,AMPARA DISTRICT,7666.1
ST1-010,AMPARA DISTRICT,5722.6
ST1-011,AMPARA DISTRICT,1493.15
ST1-012,AMPARA DISTRICT,3022.65
ST1-013,AMPARA DISTRICT,694.35
ST1-014,AMPARA DISTRICT,3397.25
ST1-015,AMPARA DISTRICT,1175.6
ST1-016,AMPARA DISTRICT,495.4
ST1-017,AMPARA DISTRICT,1737.4
ST1-018,AMPARA DISTRICT,1473.45
ST1-019,AMPARA DISTRICT,109.85
ST1-020,AMPARA DISTRICT,1746.4
ST1-021,AMPARA DISTRICT,833.05
ST1-022,AMPARA DISTRICT,2499.1
ST1-023,AMPARA DISTRICT,1249.55
ST1-024,AMPARA DISTRICT,1666.1
ST1-025,AMPARA DISTRICT,833.05
ST1-026,AMPARA DISTRICT,1187.85
ST1-027,AMPARA DISTRICT,1403.6
ST1-028,AMPARA DISTRICT,1690.15
ST1-029,AMPARA DISTRICT,1905.85
ST1-030,AMPARA DISTRICT,1100.65
ST1-031,AMPARA DISTRICT,1341.35
ST1-032,AMPARA DISTRICT,1567.3
ST1-033,AMPARA DISTRICT,1784.05
ST1-034 *,AMPARA DISTRICT,19654.5
ST1-035 *,AMPARA DISTRICT,19352
ST1-036 *,AMPARA DISTRICT,18210.6
ST1-037 *,AMPARA DISTRICT,17091.4
ST1-038 *,AMPARA DISTRICT,19678.7
ST1-039 *,AMPARA DISTRICT,18540.8
ST1-040 *,AMPARA DISTRICT,23337.2
ST1-041 *,AMPARA DISTRICT,22207
ST1-042,AMPARA DISTRICT,23813.15
ST1-043,AMPARA DISTRICT,22538.05
ST1-044 *,AMPARA DISTRICT,26519.45
ST1-045 *,AMPARA DISTRICT,25661.45
ST1-046,AMPARA DISTRICT,26819
ST1-047,AMPARA DISTRICT,25951.05
ST1-048,AMPARA DISTRICT,28276.3
ST1-048A,AMPARA DISTRICT,26311.35
ST1-049,AMPARA DISTRICT,32712.95
ST1-050,AMPARA DISTRICT,37114.1
ST1-051,AMPARA DISTRICT,7179.35
ST1-052,AMPARA DISTRICT,6056.15
ST1-053,AMPARA DISTRICT,50.35
ST1-054,AMPARA DISTRICT,413.2
ST1-055,AMPARA DISTRICT,404.6
ST1-056,AMPARA DISTRICT,302.25
ST1-057,AMPARA DISTRICT,1841.25
ST1-057A,AMPARA DISTRICT,1021.15
ST1-058,AMPARA DISTRICT,85.8
ST1-059,AMPARA DISTRICT,131.2
ST1-060,AMPARA DISTRICT,136.7
ST1-061,AMPARA DISTRICT,4425.8
ST1-062,AMPARA DISTRICT,4145.65
ST1-063,AMPARA DISTRICT,4024.7
ST1-064,AMPARA DISTRICT,1953.6
ST1-065,AMPARA DISTRICT,2652.7
ST1-066,AMPARA DISTRICT,4508.65
ST1-067,AMPARA DISTRICT,7785.1
ST1-068,AMPARA DISTRICT,8214.15
ST1-069,AMPARA DISTRICT,11988.05
ST1-070,AMPARA DISTRICT,17990.45
ST1-071,AMPARA DISTRICT,28136.6
ST1-072,AMPARA DISTRICT,41824.45
ST1-073,AMPARA DISTRICT,963.55
ST1-074,AMPARA DISTRICT,1022.8
ST1-075,AMPARA DISTRICT,1110.3
ST1-076,AMPARA DISTRICT,2160.5
ST1-077,AMPARA DISTRICT,3717.2
ST1-078,AMPARA DISTRICT,5314.9
ST1-079,AMPARA DISTRICT,1281.25
ST1-080,AMPARA DISTRICT,800.8
ST1-081,AMPARA DISTRICT,305.05
ST1-082,AMPARA DISTRICT,11101.6
